SIDT,TNNU,STNU,HOUR,SPEC,ANGL,RADL,PERP,GPSZ,MVST,SBMV,FSAG,TWAW,HABT,GPRP
4,43,4,6,RNW,101,115,113,2,0,0,0,0,,105
4,43,4,6,RNW,104,110,106,2,0,0,0,0,,105
4,43,5,7,EGK,6,110,11,5,0,0,0,0,,15
4,43,5,7,EGK,6,83,9,5,0,0,0,0,,15
4,43,5,7,EGK,7,58,7,5,0,0,0,0,,15
4,43,5,7,EGK,5,58,5,5,0,0,0,0,,15
4,43,5,7,EGK,3,58,3,5,0,0,0,0,,15
4,44,2,7,EGK,46,145,104,3,0,0,0,0,,135
4,44,2,7,EGK,48,155,115,3,0,0,0,0,,135
4,44,2,7,EGK,41,145,95,3,0,0,0,0,,135
4,44,3,7,EGK,25,160,68,5,0,0,0,0,,75
4,44,3,7,EGK,23,161,63,5,0,0,0,0,,75
4,44,3,7,EGK,20,160,55,5,0,0,0,0,,75
4,44,3,7,EGK,13,190,43,5,0,0,0,0,,75
4,44,3,7,EGK,19,167,54,5,0,0,0,0,,75
4,44,4,7,RNW,17,200,58,2,0,0,0,0,,55
4,44,4,7,RNW,45,65,46,2,0,0,0,0,,55
4,44,5,7,RNW,26,137,60,1,0,1,9,9,,55
4,44,6,7,RNW,53,88,70,2,0,0,0,0,,85
4,44,6,7,RNW,53,88,70,2,0,0,0,0,,85
4,44,7,7,RNW,100,125,123,5,0,0,0,0,,105
4,44,7,7,RNW,98,125,124,5,0,0,0,0,,105
4,44,7,7,RNW,96,125,124,5,0,0,0,0,,105
4,44,7,7,RNW,97,125,124,5,0,0,0,0,,105
4,44,7,7,RNW,99,125,123,5,0,0,0,0,,105
4,51,1,16,EGK,59,200,171,2,0,0,0,0,,115
4,51,1,16,EGK,59,200,171,2,0,0,0,0,,115
4,51,2,16,RNW,55,77,63,1,0,0,0,0,,55
4,51,3,16,RNW,39,91,57,2,0,0,0,0,,45
4,51,3,16,RNW,36,91,53,2,0,0,0,0,,45
4,51,4,16,RNW,16,66,18,1,0,0,0,0,,15
4,51,5,16,RNW,66,41,37,1,0,0,0,0,,45
4,51,6,16,RNW,101,21,21,2,0,1,2,0,,25
4,51,6,16,RNW,101,21,21,2,0,1,2,0,,25
4,51,7,16,RNW,106,19,18,1,0,1,3,0,,25
4,51,8,16,RNW,91,58,58,1,1,1,4,8,,65
4,52,1,16,RNW,16,35,10,1,1,1,1,1,,15
4,52,2,16,RNW,84,94,93,2,0,0,0,0,,85
4,52,2,16,RNW,78,94,92,2,0,0,0,0,,85
4,52,3,16,RNW,35,95,54,1,0,0,0,0,,65
4,52,4,16,EGK,10,90,16,1,0,0,0,0,,25
4,52,5,16,RNW,20,90,31,2,0,0,0,0,,35
4,52,5,16,RNW,20,117,40,2,0,0,0,0,,35
4,52,6,16,RNW,34,56,31,1,0,0,0,0,,25
4,53,1,6,EGK,19,56,18,4,0,0,0,0,,25
4,53,1,6,EGK,13,75,17,4,0,0,0,0,,25
4,53,1,6,EGK,13,75,17,4,0,0,0,0,,25
4,53,1,6,EGK,13,75,17,4,0,0,0,0,,25
